GA777,Agriculture and Environmental Management,175,305
GA860,Business,150,295
GA861,Construction,150,245
GA863,Electronic Engineering,140,255
GA869,Business in Computer Applications,165,320
GA870,Outdoor Education,180,305
GA871,Tourism,145,260
GA872,Heritage Studies,155,310
GA873,Architectural Technology,220,335
GA970,Furniture Design and Manufacture,330,380
GA971,Furniture Production and Technology,300,330
LC101,Art and Design,725#,870#
LC211,Business Studies (Accounting/Finance),300,405
LC221,Business Studies (Marketing & Management),285,375
LC311,Computer Programming,205,285
LC321,Business Computing,205,270
LC371,eOffice Administration Systems,220,295
LC411,Construction,275,320
LC451,Engineering (Civil),320,375
LC611,Science (Applied Chemistry),210,405
LC621,Science (Environmental & Analytical),205,325
LC631,Science (Applied Biology),260,380
LC701,Music Technology & Production,335,395
LC731,Engineering (Electronics & Communication Systems),200,255
LC741,Engineering (Electronics and Computer Engineering),200,290
LC761,Technology (Video & Sound),280,340
LC771,Automation & Control Technology,210,300
LC781,Renewable & Electrical Energy Systems,255,350
LC791,Electronic Engineering,200,315
LC811,Technology (Automobile),195,270
LC821,Engineering (Mechanical & Manufacturing),200,250
LC841,Technology (Agricultural Mechanisation) - Salesian Agricultu,205,300
LC851,Mechanical Engineering,250,365
LC861,Road Transport Technology & Management,190,275
LC961,Front Office Management,180,290
TI001,Business Studies,105,265
TI002,Rural Development,AQA,270
TI003,Computing (Software Development),130,260
TI006,Higher Certificate in Computing (IT Support),AQA,190
TI101,Business Studies,AQA,275
TI104,Information Technology (Multimedia and Communication Studies,105,270
WD003,Business Studies,230,350
WD008,Science (Pharmaceutical Science or Applied Biology),200,360
WD009,Agricultural Science,220,345
WD010,Electronics Engineering,195,265
WD011,Mechanical Engineering,200,310
WD012,Production Engineering,240,305
WD013,Legal Studies,220,340
WD014,Commercial Computing,225,300
WD018,Applied Social Studies in Social Care,280,330
WD019,Recreation and Leisure,260,320
WD022,Art,290,360
CW001,Physiology and Health Science,415,475
CW005,Mechanical Engineering,AQA,265
CW006,Electronic Engineering,105,185
CW007,Civil Engineering,200,290
CW008,Construction Studies,140,235
CW011,Business Studies,150,290
CW012,Business Studies  in Office Information Systems,AQA,235
CW015,Design in Industrial Design,150,265
CW019,Computing; options in Computer App's & Commercial Program,90,270
CW020,Computing in Networking and Optical Communications,140,235
CW021,Pharmacy Technician Studies,300,400
CW022,Science - Applied Biology OR Applied Chemistry,AQA,325
CW023,Accounting & Business Information Systems,130,285
CW061,Engineering in Avionics,190,270
CW064,Architectural Technology,280,340
CW093,Business Studies,105,230
CW095,Business Studies in Office Information Systems,AQA,205
CW118,Architectural Graphics,185,225
CW119,Architectural Technology,260,300
CW124,Art,550#,700
CW132,Electronic Engineering,200,285
CW147,Aircraft Systems,250,325
DL004,Model Making and Design for Film and Media,759#,860
DL121,Audiovisual Media Technology,AQA,300
DL131,Computing in Multimedia Programming,130,295
DL231,Business Studies,180,300
GC210,Marketing (Cork),135,285
GC216,Business (Cork),125,190
GC218,Travel & Tourism (Cork),#,N/A
GC265,Journalism (Cork),115,350
GC410,Marketing,110,250
GC415,Legal Studies,AQA,330
GC416,Business,130,260
GC435,Computing,110,215
GC440,Computing,AQA,205
GC465,Journalism,AQA,320
GC490,Interior Architecture,AQA,275
DT002,Engineering Systems Maintenance,190,295
DT003,Manutronics Automation,180,270
DT004,Civil Engineering,395,460
DT005,Building Services Engineering,325,355
DT006,Mechanical Engineering,335,405
DT007,Automotive Management and Technology,240,315
DT008,Electronics and Communications Engineering,160,365
DT009,Electrical and Control Systems,115,275
DT010,Electrical Services Engineering,225,295
DT020,Preliminary Engineering,335,380
DT089,Electronic and Computer Systems,100,280
DT104,Auctioneering,370,420
DT105,Architectural Technology,390,455
DT211,Computing,230,350
DT212,Physical and Life Sciences - Common 1st Year,120,415
DT303,Marketing,340,395
DT315,Business Studies,330,410
DT322,Retail Marketing,300,335
DT323,Retail Enterprise Management,285,330
DT324,Business Management,345,410
DT325,Security Management,170,255
DT400,Baking and Pastry Arts Technology and Management,AQA,340
DT406,Tourism,280,345
DT408,Hotel and Restaurant Management,245,330
DT411,Leisure Management,330,370
DT425,Pharmacy Technician Studies,AQA,290
DT441,International Bar and Foodservice Management,AQA,215
DT444,Culinary Arts (Catering for Health),140,305
DT481,Food Processing/Pharmaceutical Manufacture,145,375
DT515,Design - Display,375#,685
DT527,Music Foundation (one year course),275#,485
DT529,Drama (Performance),390#,500
NC008,Management of Technology in Business,205,285
NC018,Management of Technology in Business-Area Based Partne,155,205
NC101,Business Studies (Industrial Relations/Human Resource Man,270,330
NC102,Computing in Applications and Support,185,255
NC103,Business,240,315
NC201,Business Studies (Industrial Relations/Human Resource Management,N/A,N/A
NC202,Computing in Applications and Support - ABP Applicants,N/A,N/A
NC203,Business - Area Based Partnership Applicants,200,245
PB202,Computing,AQA,285
PB203,Business Studies,135,275
PB204,Business Studies (Accounting),AQA,290
PB205,Business Studies (Computer Applications),220,220
PB206,Business Studies  (Marketing),125,225
TR801,Dental Nursing,305,385
TR802,Dental Hygiene,415,480
TR803,Dental Technology,355,435
DN515,Foundations of Business: Mature Applicants Only,#,#
DK611,Business - Office Information Systems with Information Tech,170,245
DK612,Business - Office Information Systems with Language,175,275
DK613,Business - Office Information Systems with Public Relations,175,285
DK614,Business Studies,85,195
DK685,Agriculture,135,280
DK710,Business Studies - Management and Administration,155,300
DK722,Computing  ( Software Development - Language),220,265
DK724,Computing  (Applications & Support - Language),200,270
DK726,Computing - Software Development,160,295
DK727,Computing - Applications and  Support,200,295
DK728,Computing - Networking and Support,220,285
DK740,Engineering - Electrical  and Electronic Systems,185,295
DK742,Engineering - Mechanical Engineering,135,300
DK743,Engineering - Building Services Engineering,125,265
DK744,Engineering - Civil Engineering,155,305
DK745,Building,150,270
DK750,Business - Hospitality Management,195,285
DK752,Business - Event Management,130,300
DK760,Applied Cultural Studies,215,310
DK761,Applied Cultural Studies (Language),225,415
DK762,Communications with Multimedia,200,345
DK763,Community Sports Leadership,225,290
DK764,Applied Social Studies (Social Care),300,355
DK765,Video & Film,300,365
DK781,Science - Applied Bioscience,130,330
DK782,Science - Food Science & Health,155,340
DK783,Science - Pharmaceutical Science,200,320
LM180,Equine Science,275,360
LY001,Aquatic Science,140,285
LY003,Business,AQA,305
LY004,Office Information Systems,AQA,230
LY005,C¢rais Faisnäis Oifige,230,410
LY006,Legal Studies,AQA,300
LY007,European Languages and Business,175,415
LY008,Civil Engineering,AQA,280
LY009,Construction,AQA,225
LY010,Electronic Engineering,115,235
LY011,Mechanical Engineering,AQA,285
LY012,Computing,AQA,220
LY013,Applied Biology,125,290
LY014,Applied Chemistry,150,340
LY015,Graphic Design,AQA,255
LY016,Industrial Design,110,265
LY017,Food Science,AQA,320
LY039,Electronics and Computer Engineering,165,325
LY076,Business Studies in Watersports & Leisure,AQA,215
LY078,Bar Management at Killybegs,AQA,240
LY079,Culinary Arts at Killybegs,AQA,252
LY080,Front Office Management at Killybegs,N/A,N/A
LY081,Sports Development & Coaching,300,365
LY740,Quantity Surveying,290,330
LY741,Building Services Engineering,125,260
LY761,Computing in Games Development,210,300
BN001,Engineering (Electronics and Computer Engineering),200,260
BN002,Computing (Information Technology),205,280
BN003,Business,240,300
BN004,Business with Information Technology and a Language,200,340
BN007,Horticulture (with Salesian College of Horticulture),195,280
BN008,Horticulture (with College of Amenity Horticulture),200,330
BN009,Engineering (Mechatronics),205,285
BN010,Business and Information Technology,200,280
BN011,Applied Social Studies in Social Care,340,385
BN012,Engineering (Computer Engineering),205,250
BN013,Computing (Information Technology),200,280
BN014,Business,240,335
WD023,Design Communications,285,360
WD039,Hospitality Operations,180,265
WD040,Building Services,210,255
WD066,Computer Applications,190,250
WD067,Multimedia Applications Development,180,275
WD076,Forestry,205,285
WD094,Architectural Technology,350,400
WD096,Horticulture,190,300
WD098,Agriculture,175,300
WD138,Construction Economics,240,325
WD139,Civil Engineering,260,335
SG101,Business Studies,100,280
SG102,Business Studies in Marketing with French,135,295
SG103,Business Studies in Marketing with German,175,295
SG104,Business Studies in Marketing with Spanish,175,285
SG105,Business Studies in Office Administration,AQA,205
SG108,Business Studies in Accounting,150,310
SG109,Business Studies in Marketing with Italian,170,290
SG134,Business Studies in Recreation and Leisure,275,325
SG135,Business Studies in Tourism,150,260
SG136,Computing  Software Development,140,240
SG137,Computing  Systems and Networking,190,265
SG138,Computing  Database Management,160,260
SG231,Fine Art,595#,765#
SG232,Industrial Design,140,280
SG233,Social Studies in Social Care,360,400
SG301,Engineering in Civil Engineering,310,365
SG302,Construction,230,295
SG303,Engineering in Mechanical Engineering,130,260
SG306,Engineering in Mechatronics,120,325
SG335,Manufacturing and Quality Engineering,175,280
SG336,Interior Architecture,210,330
SG337,Engineering in Electronic Engineering,145,315
SG432,Environmental Protection,200,305
SG433,Occupational Safety and Health,315,350
SG435,Health Science and Physiology,385,430
SG436,Biomedical Science,260,360
SG437,Forensic Investigation and Analysis,365,425
