BN016,Business(Common Ent. - Acc & Finance  Bus.  Bus,AQA,AQA
BN017,International Business,183,N/A
BN020,Sports Management and Coaching,310,N/A
BN021,Creative Digital Media,300,300
BN022,Horticulture,AQA,AQA
BN025,Community and Youth Development,230,N/A
BN030,Early Childhood Care and Education,280,N/A
TA006,Culinary Arts,225,217
TA014,Advertising and Marketing Communications,438#,N/A
TA015,International Hospitality and Tourism Managemen,160,N/A
TA101,Accounting,175,N/A
TA102,Business Administration,185,N/A
TA103,Marketing,175,N/A
TA111,Accounting and Finance,185,N/A
TA113,Management,175,N/A
TA114,Marketing,170,N/A
TA201,Electronic Engineering,150,N/A
TA203,Mechanical Engineering,180,N/A
TA213,Mechanical Engineering,225,N/A
TA215,Energy and Environmental Engineering,205,N/A
TA216,Electronic Engineering,190,165
TA301,Applied Biology,230,N/A
TA302,Computing,230,N/A
TA311,Bioanalysis,230,210
TA312,Computing,230,N/A
TA313,Information Technology Management,210,N/A
TA314,Pharmaceutical Science,315,N/A
TA315,DNA and Forensic Analysis,320,305
TA316,Sports Science and Health,390,N/A
NC102,Computing in Applications and Support,230,N/A
NC103,Business,260,N/A
NC104,Science in Business Computing,N/A,N/A
PI201,Montessori Education,175,N/A
NM601,Montessori Education (Level 6),350,AQA
NM701,Montessori Education (Level 7),405*,AQA
TR801,Dental Nursing,355*,N/A
TR802,Dental Hygiene,360#,N/A
TR803,Dental Technology,450#,N/A
DK640,Applied Engineering,AQA,AQA
DK650,Culinary Arts,195,N/A
DK651,Hospitality Studies,165,N/A
DK685,Agriculture,375,355
DK710,Business and Management,140,140
DK711,Business and Technology,165,165
DK721,Computing,167,167
DK740,Engineering - Electrical and Electronic Systems,170,170
DK742,Engineering - Mechanical Engineering,195,195
DK744,Engineering - Civil Engineering,210,200
DK745,Construction Technology,120,120
DK750,Hospitality Management,290,265
DK752,Event Management,190,N/A
DK753,Culinary Arts,205,200
DK763,Sport  Exercise and Enterprise,260,230
DK767,Community Youth Work,280#,N/A
DK769,Media Arts and Technologies,195,167
DK770,Theatre and Film Practice,260,175
DK781,Science - Applied Bioscience,260,215
DK783,Science - Pharmaceutical Science,260,200
DK784,Veterinary Nursing,400*,400
GA160,Accounting Technician,N/A,N/A
GA170,Business,270,240
GA171,Business Information Systems,240,N/A
GA172,Rural Enterprise and Agri-Business (Mountbellew,280,270
GA174,Business in Marketing and Sales,270,N/A
GA175,Business in Finance,305,290
GA176,Business with Entrepreneurship,275,N/A
GA270,Art and Design,260,200
GA272,Heritage Studies,145,145
GA360,Tourism,140,140
GA361,Culinary Arts,200,N/A
GA362,Hotel and Hospitality Operations,140,140
GA363,Bar Supervision,145,145
GA370,Hotel and Catering Management,140,140
GA372,Culinary Arts Management,140,140
GA374,Tourism Management,140,140
GA375,Retail Management,140,140
GA376,Event Management with Public Relations,240,N/A
GA460,Construction Management,206,N/A
GA461,Construction Economics and Quantity Surveying,215,N/A
GA462,Architectural Technology,250,N/A
GA463,Civil Engineering,250,200
GA470,Construction Management,210,N/A
GA471,Construction Economics and Quantity Surveying,200,N/A
GA472,Architectural Technology,200,N/A
GA473,Civil Engineering,205,N/A
GA570,Computer and Electronic Engineering,200,N/A
GA573,Electrical Services and Automation Engineering,200,N/A
GA670,Mechanical Engineering,240,N/A
GA673,Energy Engineering,200,N/A
GA770,Applied Freshwater and Marine Biology,300,N/A
GA771,Applied Biology and Biopharmaceutical Science,300,N/A
GA772,Chemical and Pharmaceutical Science,317,N/A
GA773,Physics and Instrumentation,315,N/A
GA774,Science (Undenominated),300,N/A
GA775,Computing in Software Development,300,N/A
GA776,Business Computing and Digital Media,170,N/A
GA777,Agriculture and Environmental Management - Moun,300,295
GA869,Business with Administration and ICT Skills -Ma,190,N/A
GA870,Outdoor Education and Leisure - Mayo Campus,140,140
GA872,Culture and Environment (with Tourism) - Mayo C,140,N/A
GA877,Business - Mayo Campus,165,165
GA878,Accounting and Financial Management - Mayo Camp,165,165
GA879,Applied Social Care - Mayo Campus,240,N/A
GA970,Furniture Design and Manufacture - Letterfrack Cam,260,N/A
GA971,Furniture and Wood Technology - Letterfrack Campus,230,N/A
LY106,Business - Accounting and Administration,105,105
LY107,Business - Management,140,N/A
LY117,Administration and IT,160,160
LY127,Business - Marketing,155,155
LY206,Sports Studies,AQA,AQA
LY207,Law with Criminal Justice/Irish/French/German/S,140,140
LY306,Hotel Administration at Killybegs  Co. Donegal,110,N/A
LY317,Culinary Arts at Killybegs  Co. Donegal,155,155
LY327,Hotel Restaurant and Resort Management at Killybeg,150,150
LY336,Bar and Restaurant Supervision at Killybegs  Co,   AQA,AQA
LY346,Culinary Arts at Killybegs  Co. Donegal,100,100
LY406,Photography,100,AQA
LY427,Digital Media Design,150,150
LY437,Animation,150,N/A
LY447,Fashion with Promotion,155,N/A
LY507,Quantity Surveying,160,160
LY517,Building Services and Renewable Energy,160,160
LY527,Civil Engineering,175,175
LY547,Architectural Technology,145,N/A
LY607,Electronic/Computer Engineering (Common Entry),155,155
LY617,Mechanical Engineering,160,160
LY707,Computer Games Development,190,N/A
LY717,Computing,150,150
LY737,Computer Security and Digital Forensics,160,N/A
LY806,Pharmacy Technician,175,N/A
LY816,Dental Nursing,200,N/A
LY817,Bioscience,195,N/A
LY837,Food Science and Nutrition,145,N/A
LY847,Veterinary Nursing,375,N/A
LY867,Pharmaceutical and Medicinal Science,170,N/A
LY877,Agriculture,170,265
LY906,Early Childhood Care  Health and Education,200,N/A
LY916,Health and Social Care,200,190
CI001,Counselling Skills and Psychotherapy Studies (Lime,155,155
CI002,Counselling Skills and Addiction Studies (Limerick,125,N/A
CI005,Counselling Skills and Youth Studies (Limerick),155,155
LC111,Design (Fashion Knitwear and Textiles - L6),610#,N/A
LC221,Business (Accounting/Finance),250,235
LC222,Business (Marketing and Management),250,N/A
LC228,Sports Coaching and Development,215,210
LC232,Business Computing,200,N/A
LC235,Internet Systems Development,200,N/A
LC237,eBusiness Management Systems,205,N/A
LC244,Sustainable Building and Renewable Energy,235,160
LC251,Civil Engineering,210,N/A
LC253,Construction,210,N/A
LC256,Construction Practice,180,N/A
LC257,Interior Design and Technology,190,N/A
LC260,Applied Biology,205,N/A
LC261,Applied Chemistry,255,N/A
LC264,Environmental and Analytical Science,225,N/A
LC267,Pharmaceutical and Forensic Analysis,280,N/A
LC268,Medical Technology,345,315
LC270,Music Technology and Production,315,N/A
LC271,Industrial Electrical Engineering,220,N/A
LC276,Video and Sound Technology,205,N/A
LC277,Industrial Automation and Robotic Systems,200,N/A
LC278,Renewable and Electrical Energy Systems,190,N/A
LC279,Electronic Engineering,195,N/A
LC281,Automobile Technology,285,N/A
LC284,Agricultural Mechanisation at Salesian Agricultura,295,N/A
LC285,Mechanical Engineering,230,N/A
LC286,Road Transport Technology and Management,265,N/A
LC296,Hotel Front Office Management,210,190
LC298,Culinary Arts,220,210
LC299,Hospitality Studies,195,190
LC401,Business (Thurles),215,N/A
LC403,Computing (Thurles),180,N/A
LC406,Computer Services (Thurles),220,N/A
LC423,Sports Strength and Conditioning (Thurles),260,N/A
LC425,Environmental and Natural Resource Management(T,240,N/A
LC428,Environmental Management in Agriculture(Thurles,205,N/A
LC501,Business (Clonmel),175,N/A
LC504,Creative Multimedia (Clonmel),200,N/A
LM180,Equine Science,340,N/A
SG101,Business,110,110
SG105,Business in Office Administration,AQA,AQA
SG108,Business in Accounting,150,150
SG131,Computing - Games Development,220,N/A
SG134,Recreation and Leisure,210,N/A
SG135,Business in Tourism with Event Management,195,N/A
SG136,Computing - Software Development,250,N/A
SG137,Computing - Systems and Networking,195,N/A
SG231,Fine Art,545#,N/A
SG232,Creative Design,170,N/A
SG301,Civil Engineering,140,AQA
SG303,Mechanical Engineering,205,AQA
SG305,Electronic Engineering,180,180
SG306,Mechatronics,N/A,N/A
SG331,Interior Architecture and Design,185,N/A
SG332,Advanced Wood and Sustainable Building Technology,160,160
SG333,Mechanical Engineering,140,140
SG334,Mechatronics,160,N/A
SG335,Environmental Engineering,165,N/A
SG337,Electronic Engineering,180,N/A
SG338,Civil Engineering,185,N/A
SG339,Quantity Surveying,165,N/A
SG401,Science,AQA,AQA
SG403,Applied Archaeology,180,180
SG431,Pharmaceutical Science with Drug Development,255,N/A
SG432,Environmental Protection,245,N/A
SG433,Occupational Safety and Health,220,N/A
SG434,Human Nutrition,375,N/A
SG435,Health Science and Physiology,355,N/A
SG436,Biomedical Science,230,N/A
SG437,Forensic Investigation and Analysis,230,N/A
SG438,Applied Archaeology,185,185
SG536,Business,185,N/A
SG537,Marketing and Sales,100,100
SG538,Web Development and Creative Media,195,N/A
SG539,Digital Marketing,190,N/A
AS201,Applied Science in Food and Business Management,355,350
TL605,Business Studies (Office Information Systems),110,N/A
TL620,Culinary Arts,130,N/A
TL621,Hospitality Studies,AQA,N/A
TL630,Advanced Business,420,N/A
TL651,Science (Biological and Environmental Studies),260,N/A
TL710,Computing with Software Development,217,N/A
TL711,Computing with Games Development,205,N/A
TL712,Computing with Media Development,225,N/A
TL714,Computing with Mobile App Development,220,N/A
TL719,Culinary Arts,215,N/A
TL720,Travel and Tourism Management,205,N/A
TL721,Adventure Tourism Management,225,N/A
TL722,Hotel Management,#,N/A
TL731,Business (Majorin: Accounting or Agribusiness o,200,N/A
TL743,Advanced Wood Technology and Sustainable Constr,N/A,N/A
TL744,Agricultural Engineering,220,N/A
TL745,Civil and Environmental Engineering,220,N/A
TL746,Energy Technology and the Built Environment,N/A,N/A
TL747,Engineering in Manufacturing and Mechatronics E,250,N/A
TL748,Agricultural Science,300,N/A
TL749,Food Science with Innovation,N/A,N/A
TL755,Pharmaceutical Science,215,N/A
TL771,Health and Leisure,260,N/A
TL772,Health and Leisure with Massage,310,N/A
TL780,Early Childhood Care and Education,230,N/A
TL781,Social Care,250,220
TL782,Youth and Community Work Practice,230,N/A
WD003,Business,200,N/A
WD010,Electronic Engineering,225,N/A
WD011,Mechanical Engineering,200,N/A
WD013,Legal Studies,205,N/A
WD018,Applied Social Studies in Social Care,240,N/A
WD019,Recreation and Sport Management,250,N/A
WD040,Building Services Engineering,220,N/A
WD076,Forestry,230,N/A
WD094,Architectural Technology,205,N/A
WD096,Horticulture (Waterford - Kildalton),200,N/A
WD097,Horticulture (Dublin - National Botanic Gardens,228,N/A
WD126,Agriculture,405,380
WD139,Civil Engineering,210,N/A
WD151,Software Systems Development,200,N/A
WD153,Multimedia Applications Development,205,N/A
WD155,Information Technology,210,N/A
WD159,Business,205,N/A
WD164,Food Science with Business,250,N/A
WD172,Culinary Arts,215,200
WD173,Hospitality Studies,200,N/A
WD174,Tourism,205,N/A
WD175,Pharmaceutical Science,290,N/A
WD176,Applied Biology,300,N/A
WD177,Science (Ag Science  Appl Biology  Food Science,320,N/A
WD182,Electrical Engineering,205,N/A
WD184,Retail Management,200,N/A
WD188,Applied Health Care,270,N/A
