GA018,Hotel & Catering Management,185,N/A
GA030,Aquaculture,155,N/A
GA031,Biology,155,N/A
GA032,Chemical and Pharmaceutical Scienc,200,N/A
GA033,Instrument Physics,275,N/A
GA034,Biochemistry/Microbiology,155,N/A
GA036,Film & TV,435,N/A
GA037,Computing / Business Applications,350,N/A
GA038,Computing / Software Development,355,N/A
GA040,Forest Management,140,N/A
GA041,Heritage Studies,270,N/A
GA043,Furniture Production at Letterfrack,330,N/A
GA045,Medical Device Engineering,105,N/A
GA046,Hospitality Information Technology,210,N/A
GA048,Furniture Conservation & Restoratio,290,N/A
GA049,Agriculture,150,N/A
GA160,Business Studies  at Castlebar,AQA,N/A
GA161,Construction Studies  at Castlebar,AQA,N/A
GA162,Computing  at Castlebar,220,N/A
GA163,Electronic Engineering  at Castleba,AQA,N/A
GA166,Outdoor Education  at Castlebar,225,N/A
GA167,Tourism & Languages at Castlebar,185,N/A
GA168,Rural Heritage at Castlebar,115,N/A
GA169,Bus Studies in Comp Applics at Cast,215,N/A
LY001,Aquatic Science,130,N/A
LY002,Accounting Technician,AQA,N/A
LY003,Business Studies,170,N/A
LY004,Office Info Systems,150,N/A
LY005,Corais Eolais Oifige,130,N/A
LY006,Legal Studies,180,N/A
LY007,Business Studies / Languages and Eu,175,N/A
LY008,Civil Engineering,165,N/A
LY009,Construction Studies,150,N/A
LY010,Electronic Engineering,115,N/A
LY011,Mechanical Engineering,AQA,N/A
LY012,Computing,155,N/A
LY013,Applied Biology,AQA,N/A
LY014,Applied Chemistry,220,N/A
LY015,Graphic Design,235,N/A
LY016,Industrial Design,155,N/A
LY017,Food Science,155,N/A
LY039,Electronics & Computer Engineering,100,N/A
LY046,Environmental Engineering,105,N/A
LC101,Art and Design,500#,N/A
LC211,Bus Studies ( Accounting / Finance,300,N/A
LC221,Business Studies ( Marketing  ),320,N/A
LC311,Applied Computing,250,N/A
LC321,Bus Studies/Computer Applications,295,N/A
LC411,Construction,190,N/A
LC451,Engineering (Civil),230,N/A
LC611,Science (Applied Chemistry),185,N/A
LC621,Science (Environmental & Analytica,195,N/A
LC631,Science (Applied Biology),185,N/A
LC711,Electronics,220,N/A
LC721,Electro-Mechanical Systems,215,N/A
LC731,Electronics & Communication Systems,220,N/A
LC741,Electronics & Computer Engineering,220,N/A
LC811,Automobile Technology,180,N/A
LC821,Mechanical & Manufcaturing  Enginee,180,N/A
LC831,Computer Aided Engineering,180,N/A
LM180,Equine Science,290,N/A
SG101,Business Studies,225,N/A
SG102,Marketing/French,155,N/A
SG103,Marketing/German,110,N/A
SG104,Marketing/Spanish,405,N/A
SG105,Office Info Systems,205,N/A
SG107,Computing,210,N/A
SG108,Account/computing,140,N/A
SG131,European Stud./French,195,N/A
SG132,European Stud./German,335,N/A
SG133,European Stud./Spanish,260,N/A
SG134,Recreation/leisure,270,N/A
SG135,Applied Tourism,170,N/A
SG231,Art,520#,N/A
SG232,Industrial Design,150,N/A
SG233,Applied Social Studies in Social Ca,325,N/A
SG301,Civil Engineering,220,N/A
SG302,Construction,155,N/A
SG303,Mechanical Engineering,115,N/A
SG304,Computer/prec. engineer.,130,N/A
SG305,Electronic Engineering,170,N/A
SG336,Design - Architecture/Interior,320,N/A
SG337,Engineering-Electronic Product Desi,155,N/A
SG432,Environmental Protection,110,N/A
SG433,Occupational Safety & Health,130,N/A
SG434,Science ( Pharm Sc ),155,N/A
SG435,Science (Health Science with Physio,305,N/A
TN001,Bus Studies (Small & Med Enter)-Thu,105,N/A
TN002,Sustainable Rural Development - Thu,135,N/A
TN003,Computing ( Software Dev ) - Thurle,AQA,N/A
TN101,Bus Studies (Small & Med Enter)-Clo,AQA,N/A
TN103,Computing ( Software Dev ) Clonmel,110,N/A
TN104,Computing (Commu. & Multimedia-Clon,AQA,N/A
TL120,Business Studies ( Tourism ),190,N/A
TL140,Business Studies ( Tourism and Lang,230,N/A
TL160,Business Studies ( International Ho,160,N/A
TL210,Advanced Business,420,N/A
TL220,Business Studies,220,N/A
TL260,Languages and Business French,250,N/A
TL270,Languages and Business German,285,N/A
TL310,Computing,240,N/A
TL350,Office Info Systems,280,N/A
TL420,Applied Biology,125,N/A
TL440,Applied Chemistry,165,N/A
TL460,Photonics,190,N/A
TL480,Health & Leisure,250,N/A
TL620,Civil Engineering,180,N/A
TL630,Construction Studies,160,N/A
TL650,Agricultural Eng,120,N/A
TL670,Mechanical Engineering,AQA,N/A
TL690,Engineering - Mechanical and Electr,AQA,N/A
WD003,Business Studies,310,N/A
WD005,Construction Economics,250,N/A
WD007,Civil Engineering,260,N/A
WD008,Science,220,N/A
WD009,Agricultural Science,240,N/A
WD010,Electronics Engineering,230,N/A
WD011,Mechanical Engineering,220,N/A
WD012,Production Engineering,220,N/A
WD013,Legal Studies,285,N/A
WD014,Commercial Computing,240,N/A
WD015,Industrial Computing,240,N/A
WD018,Social Care,330,N/A
WD019,Recreation/Leisure,280,N/A
WD020,Marketing/French,320,N/A
WD021,Marketing/German,300,N/A
WD022,Art,300,N/A
WD023,Design,305,N/A
WD039,Hotel/Catering Supervision,220,N/A
WD040,Environmental Engineering,240,N/A
WD066,Computer Applications,260,N/A
WD067,Multimedia Applications Development,300,N/A
WD076,Forestry,240,N/A
WD094,Architectural Technology,335,N/A
WD096,Horticulture,245,N/A
WD098,Agriculture,235,N/A
WD099,Bus Studies in Lang. & Marketing (S,245,N/A
